pass_id;timestamp;stationRef;vehicleRef;charge
PGGO812103;13/4/2021 16:42;EG11;HE38BQH01623;2.5
SQGE593926;30/4/2021 2:44;NE12;PD45WOT56494;2.0
DIRD759294;23/2/2020 17:11;MR04;HE38BQH01623;2.8
KNQR527780;18/3/2020 5:56;NE09;PM58XHX45588;1.5
BANN897428;23/5/2021 0:50;MR03;QO68DIC93032;2.5
VJAS065873;2/11/2021 16:00;GF00;JE65QJK64802;2.8
IDMQ816276;1/6/2020 10:31;OO13;RK48BOP88344;2.8
SHHW648856;1/7/2021 22:52;GF00;CP56DAO45598;2.8
NFGN642138;16/11/2021 20:08;NE05;PM58XHX45588;1.5
CMCK113020;26/3/2020 17:40;OO03;EM54HQI58682;2.2
PBJT328527;11/10/2020 9:00;NE01;UP28MBM38391;1.0
NOGF156618;27/12/2021 18:04;KO01;LG64ARC91224;1.0
UXDA230664;13/7/2021 21:35;AO03;YH66OKD41942;2.8
UBJL457780;24/2/2021 10:29;NE14;NY14GZR94632;2.8
UZDA664872;16/12/2021 13:27;AO17;MX39VOS38645;2.8
ARQN638741;2/7/2021 10:48;NE08;NZ35XLQ89678;1.5
FEGG436789;8/12/2021 20:34;KO02;ZY93PCY41868;1.5
HXUM263839;7/11/2021 12:00;GF00;CP56DAO45598;2.8
JKDI339234;2/9/2020 18:41;MR05;LG64ARC91224;3.1
UPRV481408;30/6/2020 15:01;OO02;QW79CHL42244;1.3
JTRL897806;16/4/2021 10:36;NE10;QP02SYE47964;1.5
NFNH277264;9/7/2020 16:55;KO04;DO24BCW15511;1.3
SRCI720918;10/5/2021 15:16;AO03;OC94ASJ72024;1.0
SDUK350062;22/10/2020 20:34;NE00;QP02SYE47964;2.8
AOFQ671055;4/7/2021 19:54;OO06;ED51EWW52190;2.0
JVOW595220;6/5/2021 3:19;KO04;MQ65WJJ60020;1.3
VSAV789556;20/3/2021 23:31;MR06;LG64ARC91224;3.1
QOCT641148;17/1/2020 3:42;EG04;CM15YCB60994;2.0
EUZU130438;17/3/2020 22:23;KO06;IX01MVL33676;2.5
UNGB317206;16/6/2021 0:02;NE09;JV67MTI17124;2.5
BHMC855436;9/4/2020 13:53;KO09;NO82BAX82566;2.2
OGUR717142;9/11/2021 2:03;MR08;QH15HWX24570;3.1
UCHH760656;11/5/2020 22:50;OO01;LC72NRN52084;3.1
XJPI863296;28/7/2020 9:20;AO15;HT62RDI04611;2.8
WRGV546631;11/2/2021 13:34;KO03;IX01MVL33676;2.5
JGFW237251;10/10/2020 11:16;MR02;HA82SCK64299;1.5
WTKA044224;4/6/2021 19:35;AO13;DV04FQL29609;3.1
MOFP537069;16/6/2020 18:56;OO05;OY94SZK34436;2.8
YLSH730513;27/11/2021 23:58;MR01;EZ65FLV39493;2.8
JEBG364368;29/12/2021 17:50;KO03;ED51EWW52190;2.8
ZFNF401964;20/10/2020 21:22;EG00;TV81MAQ99005;2.8
LYRE669343;15/8/2020 2:40;EG10;TZ48CCW54765;3.1
GKZV294234;23/3/2021 13:44;MR07;EZ65FLV39493;2.8
HEUN991344;28/11/2020 4:11;EG10;BY85QGR11636;2.5
TAGL898054;3/8/2020 21:00;GF00;CP56DAO45598;2.8
ZHRL777961;2/11/2021 19:05;OO11;EE22TMX10817;2.0
OUFO285694;13/12/2020 9:13;NE00;IA29IQS63679;1.0
LUQG968551;7/12/2020 11:02;EG06;UP28MBM38391;1.5
OOTZ895761;25/1/2021 12:15;KO03;ED51EWW52190;2.8
UJSC302250;13/11/2021 15:02;NE03;NY14GZR94632;2.8
YVDN091972;2/9/2021 5:14;KO07;IX01MVL33676;2.5
OZJT708191;21/12/2020 16:28;KO09;HW75BKT77773;2.2
TSRM776083;7/2/2020 18:27;NE12;IA29IQS63679;1.0
EXNI594915;4/3/2021 23:53;OO12;QX75YWC61835;2.8
XVJK518506;15/4/2020 22:03;EG12;XF28DGK65250;2.5
XDGO083606;13/12/2020 12:17;GF00;PF04UCA93312;3.1
UWIL277886;13/4/2020 11:11;AO16;PE73VJU23485;2.8
PNZF584103;8/4/2021 2:26;OO00;JF94VYA88954;2.8
DVTQ817192;10/10/2021 23:50;GF00;CP56DAO45598;2.8
VUIV005243;22/11/2021 16:19;AO00;YL27IFD65117;2.0
HBXV373093;6/11/2021 11:47;AO18;BZ76ROL87339;1.0
OKLO957324;26/3/2021 21:49;NE08;XV40HUQ04740;1.5
FBXS446823;12/3/2021 18:15;KO09;QW79CHL42244;2.8
QRXO581803;17/11/2021 10:32;NE13;EG95RTB75032;2.8
XEAW563662;18/3/2020 12:21;MR04;QN23UHH39091;2.8
IYSV251444;9/12/2021 22:29;MR07;VL67TFO75321;2.5
VDPJ279050;19/4/2020 16:35;MR07;KF48RSD79865;2.8
DAQK688180;22/8/2020 20:35;GF00;BY85QGR11636;2.5
GQHO144058;18/12/2021 18:39;KO01;FL13UMN92207;1.0
VROF542898;5/1/2021 0:51;KO08;YX66XYW62640;1.3
OVYS827127;15/1/2020 1:54;NE15;EE22TMX10817;1.3
SCKQ602263;24/11/2020 14:32;EG07;PD45WOT56494;2.5
CNSC396486;7/11/2020 7:58;GF00;JE65QJK64802;2.8
VQGT080289;20/1/2021 9:30;MR03;QH15HWX24570;3.1
IPVL700131;10/2/2021 14:32;EG11;TZ48CCW54765;3.1
LAJU340880;26/7/2020 22:58;KO08;PE73VJU23485;2.5
SMQL502066;8/1/2020 2:05;AO08;BZ76ROL87339;1.0
SAJO213147;12/10/2021 19:08;EG00;DW44ZOO26361;2.5
MXTT366529;25/2/2021 18:58;GF00;UF84JOS00561;2.8
EVFX942719;4/4/2021 19:33;AO16;DP11ENT03275;3.1
SGXD621250;31/3/2020 9:25;OO02;WY00MLL63827;2.2
CSWH030263;25/12/2020 18:29;NE08;NY14GZR94632;2.8
TREN575933;22/8/2021 3:00;KO09;KB55KTM48860;2.5
UDNR576123;9/10/2020 17:54;AO06;OY94SZK34436;2.8
ZLFZ761569;26/9/2020 6:22;OO05;EE22TMX10817;3.1
EUPK549734;4/7/2020 19:14;NE03;IA29IQS63679;1.0
XCRM699719;22/2/2020 10:38;EG07;IN99SEN20660;2.8
VIIP603993;18/10/2020 13:04;AO08;QP02SYE47964;2.8
JJUE823664;24/5/2021 20:44;MR03;QO68DIC93032;2.5
CQSU653126;9/2/2021 15:22;NE01;JV67MTI17124;2.5
ZGWS350196;7/11/2021 0:21;MR01;HE38BQH01623;2.8
PQBW800350;1/4/2021 16:24;AO14;HT62RDI04611;2.8
XXOO336684;3/3/2020 4:52;GF00;MA30QLI76818;2.5
VJWY657143;29/1/2021 8:39;MR02;QH15HWX24570;3.1
QNHS032574;5/9/2021 17:43;KO05;XV40HUQ04740;2.5
QOUK928664;29/10/2020 15:48;AO05;BM25PHF40639;13.0
TBXJ191589;13/9/2020 6:52;EG02;CM15YCB60994;2.0
LPOS548334;3/7/2020 16:53;NE14;PD45WOT56494;2.0
YQMR858145;3/11/2021 23:01;NE08;NY14GZR94632;2.8
SFQH057030;28/3/2021 21:46;NE06;QP02SYE47964;2.8
VILZ490682;19/8/2020 9:43;NE03;PM58XHX45588;1.5
NKEK041315;1/3/2021 2:38;NE05;QP02SYE47964;2.8
RAAD234245;23/8/2021 2:32;EG07;QU94IGC75528;1.3
FTFS836915;23/8/2020 21:44;MR07;IZ65WAT29135;2.0
